WARNING: kafka-python not installed. Using mock KafkaProducer.
WARNING: kafka-python not installed. Using mock KafkaConsumer.
Starting Network Anomaly Detection System
Starting traffic simulator
Mock KafkaProducer initialized with {'bootstrap_servers': 'localhost:9092', 'value_serializer': <function KafkaNetworkProducer.__init__.<locals>.<lambda> at 0x14a587100>}
Connected to Kafka at localhost:9092
Starting Kafka consumer for topic 'network_traffic'
Mock KafkaConsumer initialized with topics ('network_traffic',) and {'bootstrap_servers': 'localhost:9092', 'auto_offset_reset': 'latest', 'value_deserializer': <function NetworkAnomalyDetectionSystem.consume_traffic.<locals>.<lambda> at 0x14a587380>, 'group_id': 'network_anomaly_detector'}
Producing 10 packets per second to topic 'network_traffic'
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:52.740457', 'src_ip': '192.168.1.4', 'dst_ip': '10.0.0.3', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 660, 'is_attack': False}
Error consuming traffic: 'protocol'
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:52.844975', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.4', 'src_port': 7024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 271, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:52.950014', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.3', 'src_port': 8024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 264, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.053273', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.2', 'src_port': 1024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 761, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.155946', 'src_ip': '192.168.1.5', 'dst_ip': '10.0.0.5', 'src_port': 2024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1304, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.256979', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.5', 'src_port': 8024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1401, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.361652', 'src_ip': '192.168.1.6', 'dst_ip': '10.0.0.4', 'src_port': 6024, 'dst_port': 80, 'protocol': 'TCP', 'packet_size': 1489, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.462096', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.4', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 719, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.567137', 'src_ip': '192.168.1.7', 'dst_ip': '10.0.0.3', 'src_port': 7024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 414, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.670205', 'src_ip': '192.168.1.9', 'dst_ip': '10.0.0.5', 'src_port': 3024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 761, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.775010', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 2024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1047, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.878311', 'src_ip': '192.168.1.2', 'dst_ip': '10.0.0.3', 'src_port': 1024, 'dst_port': 53, 'protocol': 'UDP', 'packet_size': 1111, 'is_attack': False}
Mock send to network_traffic: {'timestamp': '2025-05-15 23:01:53.983360', 'src_ip': '192.168.1.3', 'dst_ip': '10.0.0.2', 'src_port': 6024, 'dst_port': 0, 'protocol': 'ICMP', 'packet_size': 1023, 'is_attack': False}
